Issue Id,Parent Id,Issue Type,Summary,Epic Name,Description,Priority,Story Points,Fix Version/s,Labels,Labels,Labels,Labels
104,1,Story,Review step and submission confirmation,,"h4. User story
As a business user I want to review my answers and receive a reference number so that I can follow up.

h4. Acceptance criteria
* Review step shows every answered field with an Edit link back to its step
* Review step shows the initial priority band and score
* After submit I see my reference (FR-YYYY-NNNN) and priority band
* Server-side validation errors are shown if submission is rejected

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,frontend,intake,
105,1,Story,Live priority estimate,,"h4. User story
As a business user I want to see how my impact answers affect priority so that I understand how requests are ranked.

h4. Acceptance criteria
* Once people affected, $ impact and urgency are chosen, the estimate appears under the fields
* The estimate states that triage may adjust it

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Low,1,MVP,feature-intake,frontend,intake,
106,1,Story,Accessibility and responsive layout (WCAG 2.1 AA),,"h4. User story
As a user of assistive technology or a phone I want the form to be fully usable so that I can submit requests too.

h4. Acceptance criteria
* All controls are keyboard-operable with visible focus
* Layout works at 360px width without horizontal scrolling
* Colour contrast meets 4.5:1 for text in light and dark themes
* axe-core scan reports zero critical or serious issues

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,frontend,a11y,
107,2,Story,Triage board list with filters and search,,"h4. User story
As a triage lead I want to filter and search requests so that I can focus on what needs attention.

h4. Acceptance criteria
* Filter by status (including ""All open""), department and priority band
* Free-text search across ID, title, problem, requester and Jira key
* Filters combine (AND) and the list updates without reloading the page
* Empty state is shown when nothing matches

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,5,MVP,feature-intake,frontend,triage,
108,2,Story,Sortable columns,,"h4. User story
As a triage lead I want to sort by priority, date and status so that I can work top-down.

h4. Acceptance criteria
* Clicking a column header sorts descending, clicking again sorts ascending
* The active sort column exposes aria-sort

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,frontend,triage,
109,2,Story,KPI summary tiles,,"h4. User story
As a product leader I want headline counts so that I can see the state of the intake queue at a glance.

h4. Acceptance criteria
* Tiles show open requests, awaiting triage, needs info, open P1 (with open P2 as a sub-label)
* Counts come from GET /api/stats and refresh when the list reloads

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,frontend,triage,
110,2,Story,Request detail view,,"h4. User story
As a triage lead I want to see the full request and its history so that I can make a decision.

h4. Acceptance criteria
* Clicking or pressing Enter on a row opens a modal with all fields
* The URL hash holds the request ID so a detail view can be linked directly
* Activity timeline shows status changes, field changes and notes newest first

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,frontend,triage,
111,2,Story,Status workflow transitions,,"h4. User story
As a triage lead I want to move requests through a defined workflow so that status is consistent and auditable.

h4. Acceptance criteria
* Status dropdown only offers transitions allowed from the current status
* Moving to Rejected or Needs Info requires a note
* Illegal transitions are rejected by the API with 422
* Every change is appended to history with actor and timestamp

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Highest,5,MVP,feature-intake,frontend,backend,workflow
112,2,Story,Assign owner and link Jira key,,"h4. User story
As a triage lead I want to record an owner and the delivery ticket so that requesters can be pointed to progress.

h4. Acceptance criteria
* Assignee is free text up to 80 characters
* Jira key must match PROJECT-123 format
* Both changes are recorded in history

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,frontend,backend,triage
113,2,Story,CSV export of filtered list,,"h4. User story
As a product ops analyst I want to export requests so that I can report on them in Excel or BI tools.

h4. Acceptance criteria
* Export honours the current filters and sort
* File is UTF-8 with BOM so Excel opens accents correctly
* Cells starting with = + - @ are prefixed to prevent formula injection

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,backend,triage,reporting
114,3,Story,REST API for requests,,"h4. User story
As a developer I want a documented REST API so that the UI and future integrations share one backend.

h4. Acceptance criteria
* Endpoints match docs/api/openapi.yaml
* POST returns 201 with Location header; validation errors return 422 with per-field messages
* Malformed JSON 400, wrong content type 415, body > 100KB 413
* Clients cannot set server-owned fields (id, status, score, history)

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Highest,5,MVP,feature-intake,backend,api,
115,3,Story,Priority scoring engine,,"h4. User story
As a product leader I want every request scored the same way so that prioritisation is transparent.

h4. Acceptance criteria
* Score = reach (0-35) + value (0-35) + urgency (0-30) + regulatory bonus (15), capped at 100
* Bands: P1 >= 75, P2 >= 55, P3 >= 35, else P4
* Scoring is unit-tested at band boundaries

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,backend,rules,
116,3,Story,Persistence layer with atomic writes,,"h4. User story
As an operator I want data written safely so that a crash never corrupts the request store.

h4. Acceptance criteria
* Writes go to a temp file then rename
* Concurrent writes are serialised
* IDs are sequential per store and continue after seeded data

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,backend,data,
117,3,Story,Security baseline,,"h4. User story
As the security team I want standard protections in place so that the app passes review.

h4. Acceptance criteria
* CSP, X-Frame-Options, nosniff and Referrer-Policy headers on every response
* Static file serving blocks path traversal
* All user text rendered with textContent (no innerHTML)
* Control characters stripped from input

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Highest,3,MVP,feature-intake,backend,security,
118,4,Story,Automated unit and API tests,,"h4. User story
As a developer I want a fast test suite so that I can change the code with confidence.

h4. Acceptance criteria
* npm test runs rules and API tests with no external dependencies
* Every case in test-data/invalid-payloads.json is asserted to fail with the expected fields
* Tests run in under 5 seconds

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,quality,,
119,4,Story,CI pipeline,,"h4. User story
As a developer I want tests to run on every pull request so that regressions are caught before merge.

h4. Acceptance criteria
* Pipeline runs npm test on Node 20 and 22
* PR cannot merge when tests fail

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,devops,,
120,4,Story,Containerise and deploy to staging,,"h4. User story
As an operator I want a repeatable deployment so that staging and production match.

h4. Acceptance criteria
* Dockerfile builds a non-root image
* DATA_FILE is on a mounted volume
* Health check uses GET /api/health

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,3,MVP,feature-intake,devops,,
121,4,Story,Monitoring and alerting,,"h4. User story
As an operator I want to know when the service is down or erroring so that I can respond before users notice.

h4. Acceptance criteria
* Uptime check on /api/health every minute
* Alert when 5xx rate > 1% over 5 minutes
* Structured request logs shipped to central logging

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,devops,observability,
122,5,Story,SSO login with Azure AD / Okta,,"h4. User story
As a business user I want to sign in with my company account so that my name and email are pre-filled and verified.

h4. Acceptance criteria
* Unauthenticated users are redirected to the IdP (OIDC)
* Requester name, email and department come from the ID token
* Triage board requires the ""intake-triage"" group

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Highest,5,Phase 2,feature-intake,security,integration,
123,5,Story,Auto-create Jira epic on approval,,"h4. User story
As a triage lead I want approving a request to create a Jira epic so that I do not re-key it.

h4. Acceptance criteria
* Moving to Approved creates an epic in the configured project with the request content
* The Jira key is saved on the request
* Failures are retried and surfaced on the request without blocking the status change

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,5,Phase 2,feature-intake,integration,jira,
124,5,Story,Email notifications to requester,,"h4. User story
As a business user I want an email when my request is received or changes status so that I do not have to chase.

h4. Acceptance criteria
* Emails sent on submit, Needs Info (with the question), Approved, Rejected (with reason) and Done
* Emails include the reference and a link to the request
* Templates match docs/mocks/wireframes.html

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,Phase 2,feature-intake,integration,notifications,
125,5,Story,Teams/Slack alert for P1 submissions,,"h4. User story
As a triage lead I want P1 requests posted to our channel so that urgent items are seen the same day.

h4. Acceptance criteria
* Webhook fires when a new request scores P1
* Message includes title, department, score and a link

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,Phase 2,feature-intake,integration,notifications,
126,5,Story,My requests page for requesters,,"h4. User story
As a business user I want to see all my requests and their status so that I know what is happening.

h4. Acceptance criteria
* Lists requests where requesterEmail matches the signed-in user
* Requester can answer a Needs Info question, which moves the request back to In Review

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,3,Phase 2,feature-intake,frontend,intake,
127,6,Story,Generate a concept mock on submission,,"h4. User story
As a business user I want to see a sketch of my idea right after I submit it so that I can check the product team will understand it.

h4. Acceptance criteria
* Submitting never waits on the mock; the request is created with mock.status = pending
* A background queue (2 concurrent) calls claude-opus-5 with the request fenced as data; name and email are not sent
* The reply HTML is extracted, sanitised and stored; status becomes ready or failed with a readable reason
* Pending mocks resume after a server restart
* Feature is off without ANTHROPIC_API_KEY or with MOCKS=off, and the UI hides it

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,5,MVP,feature-intake,backend,ai,
128,6,Story,Show the mock on the confirmation screen,,"h4. User story
As a business user I want the mock to appear below my confirmation so that I do not have to go looking for it.

h4. Acceptance criteria
* A ""Sketching a concept mock"" state shows while pending (polls every 3s)
* The ready mock renders at desktop width, scaled to fit, with an Open full size link
* The panel is labelled AI-generated and not a design commitment

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,frontend,ai,
129,6,Story,Regenerate the mock with feedback,,"h4. User story
As a requester or triage PM I want to say what is wrong with the mock and get a new one so that it matches the intent.

h4. Acceptance criteria
* Feedback (up to 1000 chars) is sent to the model with the request
* Only one generation per request at a time (409 otherwise)
* Each regeneration is recorded in the request history with the actor

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,3,MVP,feature-intake,frontend,backend,ai
130,6,Story,Show the mock in the triage detail view,,"h4. User story
As a triage PM I want to see the same mock the requester saw so that we discuss the same picture.

h4. Acceptance criteria
* Detail dialog shows mock status, the mock, and regenerate controls
* Requests created before the feature was on offer a Generate concept mock button

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,frontend,triage,ai
131,6,Story,Sandbox generated HTML,,"h4. User story
As the security team I want AI-generated HTML isolated so that a crafted request cannot attack users.

h4. Acceptance criteria
* Scripts, event handlers, iframes, forms, external URLs and meta refresh are stripped
* mock.html is served with CSP ""sandbox; default-src 'none'"" and frame-ancestors 'self'
* The UI embeds it only in <iframe sandbox> with no allow flags
* Tests cover each stripped construct

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Highest,3,MVP,feature-intake,security,ai,
132,6,Story,Mock cost and quality monitoring,,"h4. User story
As the product owner I want to see mock usage and failures so that I can manage cost and quality.

h4. Acceptance criteria
* Token usage and duration are logged per mock
* Weekly count of generated, regenerated and failed mocks
* Sample 20 mocks a month for a quality review; tune MOCK_EFFORT or the prompt

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Low,2,MVP,feature-intake,observability,ai,
133,5,Story,Migrate storage to PostgreSQL,,"h4. User story
As an operator I want a managed database so that the service can scale beyond one instance and be backed up.

h4. Acceptance criteria
* Repository interface unchanged; JSON store kept for local development
* One-off migration script imports the JSON file
* Point-in-time recovery enabled

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,5,Phase 2,feature-intake,backend,data,
